fid,id,lat,lon,height,name,state,fid_2,BKR_Nummer,BKR_Name
192,2503,50.6266,10.1455,487,Kaltennordheim Thüringen,Frei,49,111,Verwitterungsböden in den Übergangslagen (Ost) 
226,2925,51.3932,10.3123,356,Leinefelde Thüringen,Frei,49,111,Verwitterungsböden in den Übergangslagen (Ost) 
258,3231,50.5611,10.3771,450,Meiningen Thüringen,Frei,49,111,Verwitterungsböden in den Übergangslagen (Ost) 
469,7368,51.0007,10.3621,312,Eisenach Thüringen,Frei,49,111,Verwitterungsböden in den Übergangslagen (Ost) 
20,222,50.5908,12.7139,393,Aue Sachsen,Frei,49,111,Verwitterungsböden in den Übergangslagen (Ost) 
232,2985,50.9383,14.2094,321,Lichtenhain-Mittelndorf Sachsen,Frei,49,111,Verwitterungsböden in den Übergangslagen (Ost) 
336,4222,50.5263,12.4091,464,Rodewisch Sachsen,Frei,49,111,Verwitterungsböden in den Übergangslagen (Ost) 
428,5797,50.6879,12.4329,349,Lichtentanne Sachsen,Frei,49,111,Verwitterungsböden in den Übergangslagen (Ost) 
463,7329,50.5467,12.2863,465,Treuen Sachsen,Frei,49,111,Verwitterungsböden in den Übergangslagen (Ost) 
257,3204,50.7335,10.8815,429,Martinroda Thüringen,Frei,49,111,Verwitterungsböden in den Übergangslagen (Ost) 
77,867,50.3066,10.9679,344,Lautertal-Oberlauter Bayern,Frei,49,111,Verwitterungsböden in den Übergangslagen (Ost) 
124,1493,50.4788,11.0159,793,Friedrichshöhe,Thüringen,49,111,Verwitterungsböden in den Übergangslagen (Ost) 
212,2750,50.2524,11.3209,310,Kronach Bayern,Frei,49,111,Verwitterungsböden in den Übergangslagen (Ost) 
354,4464,50.5679,11.8041,501,Schleiz Thüringen,Frei,49,111,Verwitterungsböden in den Übergangslagen (Ost) 
317,3946,50.4818,12.13,387,Plauen Sachsen,Frei,49,111,Verwitterungsböden in den Übergangslagen (Ost) 
370,4752,50.3746,11.1828,626,Sonneberg-Neufang Thüringen,Frei,49,111,Verwitterungsböden in den Übergangslagen (Ost) 
28,320,49.9666,11.5198,350,Heinersreuth-Vollhof Bayern,Frei,51,112,Verwitterungsböden in den Höhenlagen (östliches Bayern) 
170,2261,50.3123,11.876,565,Hof Bayern,Frei,51,112,Verwitterungsböden in den Höhenlagen (östliches Bayern) 
475,7394,50.0315,11.9745,622,Wunsiedel-Schönbrunn Bayern,Frei,51,112,Verwitterungsböden in den Höhenlagen (östliches Bayern) 
105,1292,49.7522,11.8222,470,Eschenbach/Oberpfalz Bayern,Frei,51,112,Verwitterungsböden in den Höhenlagen (östliches Bayern) 
