fid,id,lat,lon,height,name,state,fid_2,BKR_Nummer,BKR_Name
1280,7393,51.4492,14.2533,116,Hoyerswerda Sachsen,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
1321,14138,52.1655,14.1224,73,Falkenberg (Grenzschichtmessfeld) Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
798,3818,52.7167,11.7333,29,Osterburg Sachsen-Anhalt,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
1238,6273,52.5075,11.8551,36,Demker Sachsen-Anhalt,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
1007,4977,52.5447,11.9724,45,Tangermünde Sachsen-Anhalt,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
40,184,52.6769,12.0077,55,Arneburg Sachsen-Anhalt,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
578,2760,52.288,12.0707,45,Krüssau Sachsen-Anhalt,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
476,2289,52.6667,12.3333,28,Hohennauen Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
1377,19940,52.6069,11.88,31,Stendal/Altmark Sachsen-Anhalt,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
30,164,53.0316,13.9908,54,Angermünde Brandenburg,Frei,29,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
352,1552,53.2066,14.3817,13,Gartz/Oder Brandenburg,Frei,29,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
1044,5142,53.7445,14.0698,1,Ueckermünde Mecklenburg-Vorpommern,Frei,37,105,vorpommersche Sandböden im Uecker-Randow-Gebiet 
31,167,53.8409,13.6854,11,Anklam Mecklenburg-Vorpommern,Frei,37,105,vorpommersche Sandböden im Uecker-Randow-Gebiet 
63,288,53.8409,13.7549,3,Bargischow-Gnevezin Mecklenburg-Vorpommern,Frei,37,105,vorpommersche Sandböden im Uecker-Randow-Gebiet 
1155,5778,54.0801,13.8989,2,Zinnowitz Mecklenburg-Vorpommern,Frei,38,105,vorpommersche Sandböden im Uecker-Randow-Gebiet 
1243,6310,54.1049,13.8239,1,Karlshagen Mecklenburg-Vorpommern,Frei,38,105,vorpommersche Sandböden im Uecker-Randow-Gebiet 
665,3158,52.5468,14.5453,12,Manschnow Brandenburg,Frei,43,106,Oderbruch 
245,1074,51.3043,12.081,103,"Dürrenberg, Bad Sachsen-Anhalt",Frei,44,107,Lößböden in der Ackerebene (Ost) 
615,2932,51.4347,12.2396,131,Leipzig/Halle Sachsen,Frei,44,107,Lößböden in der Ackerebene (Ost) 
614,2931,51.392,12.3962,128,Leipzig-Mockau Sachsen,Frei,44,107,Lößböden in der Ackerebene (Ost) 
613,2928,51.3151,12.4462,138,Leipzig-Holzhausen Sachsen,Frei,44,107,Lößböden in der Ackerebene (Ost) 
980,4782,51.604,12.1093,87,Spören-Prussendorf Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
596,2857,51.1173,10.6568,175,"Langensalza, Bad Thüringen",Frei,44,107,Lößböden in der Ackerebene (Ost) 
251,1091,51.2806,10.7362,258,Ebeleben Thüringen,Frei,44,107,Lößböden in der Ackerebene (Ost) 
203,896,51.0778,10.8619,170,Dachwig Thüringen,Frei,44,107,Lößböden in der Ackerebene (Ost) 
558,2664,51.1906,11.2436,143,Kölleda Thüringen,Frei,44,107,Lößböden in der Ackerebene (Ost) 
46,198,51.3744,11.292,164,Artern Thüringen,Frei,44,107,Lößböden in der Ackerebene (Ost) 
48,207,51.7498,11.4667,105,Aschersleben Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
266,1182,51.5029,11.5705,146,Eisleben-Helfta Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
109,445,51.8218,11.711,85,Bernburg/Saale (Nord) Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
567,2701,51.1329,11.7252,136,"Kösen, Bad Sachsen-Anhalt",Frei,44,107,Lößböden in der Ackerebene (Ost) 
565,2698,51.6723,11.7791,90,Könnern Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
599,2878,51.3909,11.8786,117,"Lauchstädt, Bad Sachsen-Anhalt",Frei,44,107,Lößböden in der Ackerebene (Ost) 
412,1957,51.5138,11.9499,93,Halle-Kröllwitz Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
413,1960,51.4831,11.9671,102,Halle (Stadt) Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
569,2704,51.7511,12.0094,76,Köthen (Anhalt) Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
623,2963,51.3167,12.0333,92,Leunawerke Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
666,3160,51.6084,11.4139,240,Vatterode-Gräfenstuhl Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
678,3226,51.7259,11.511,108,Aschersleben-Mehringen Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
832,4032,51.7953,11.132,142,Quedlinburg Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
833,4036,51.3895,11.5412,206,Querfurt-Mühle Lodersleben Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
840,4079,51.1765,11.4183,200,Rastenberg Thüringen,Frei,44,107,Lößböden in der Ackerebene (Ost) 
863,4249,51.0681,11.3969,250,Rohrbach Thüringen,Frei,44,107,Lößböden in der Ackerebene (Ost) 
947,4593,51.9639,11.1208,117,Schwanebeck Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
1099,5442,51.2002,11.9154,109,Weißenfels Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
1100,5445,51.212,10.9956,165,Weißensee-Ottenhausen Thüringen,Frei,44,107,Lößböden in der Ackerebene (Ost) 
