fid,id,lat,lon,height,name,state,fid_2,id_2,lat_2,lon_2,height_2,name_2,state_2,id_3,OBJID,BEGINN,GF,NUTS_LEVEL,NUTS_CODE,NUTS_NAME
43,2485,48.917,9.6871,489,Kaisersbach-Cronhütte Baden-Württemberg,Frei,521,2485,48.917,9.6871,489,Kaisersbach-Cronhütte Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
44,4349,48.9569,9.0711,251,Sachsenheim Baden-Württemberg,Frei,890,4349,48.9569,9.0711,251,Sachsenheim Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
45,3362,48.9721,8.8735,243,Mühlacker Baden-Württemberg,Frei,710,3362,48.9721,8.8735,243,Mühlacker Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
46,4177,48.9726,8.3301,116,Rheinstetten Baden-Württemberg,Frei,857,4177,48.9726,8.3301,116,Rheinstetten Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
47,2522,49.0373,8.3637,112,Karlsruhe Baden-Württemberg,Frei,531,2522,49.0373,8.3637,112,Karlsruhe Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
48,4582,49.0823,9.6892,358,Schwäbisch Hall-Bibersfeld Baden-Württemberg,Frei,942,4582,49.0823,9.6892,358,Schwäbisch Hall-Bibersfeld Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
49,3734,49.128,9.3525,232,Obersulm-Willsbach Baden-Württemberg,Frei,781,3734,49.128,9.3525,232,Obersulm-Willsbach Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
50,2095,49.1448,9.2333,167,Heilbronn Baden-Württemberg,Frei,443,2095,49.1448,9.2333,167,Heilbronn Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
51,3761,49.207,9.5176,276,Öhringen Baden-Württemberg,Frei,789,3761,49.207,9.5176,276,Öhringen Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
52,4719,49.2447,8.8787,169,Sinsheim Baden-Württemberg,Frei,970,4719,49.2447,8.8787,169,Sinsheim Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
53,634,49.4442,9.6458,373,Boxberg-Seehof,Baden-Württemberg,139,634,49.4442,9.6458,373,Boxberg-Seehof,Baden-Württemberg,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
54,755,49.5182,9.3213,340,"Buchen, Kr. Neckar-Odenwald Baden-Württemberg",Frei,172,755,49.5182,9.3213,340,"Buchen, Kr. Neckar-Odenwald Baden-Württemberg",Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
55,5562,48.6516,8.6801,571,Neubulach-Oberhaugstett Baden-Württemberg,Frei,1119,5562,48.6516,8.6801,571,Neubulach-Oberhaugstett Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
56,5906,49.5063,8.5584,98,Mannheim Baden-Württemberg,Frei,1176,5906,49.5063,8.5584,98,Mannheim Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
57,7187,49.7636,9.4063,194,Freudenberg/Main-Boxtal Baden-Württemberg,Frei,1256,7187,49.7636,9.4063,194,Freudenberg/Main-Boxtal Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
58,13674,49.2943,8.9053,237,Waibstadt Baden-Württemberg,Frei,1298,13674,49.2943,8.9053,237,Waibstadt Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
59,2597,50.224,10.0792,282,"Kissingen, Bad Bayern",Frei,544,2597,50.224,10.0792,282,"Kissingen, Bad Bayern",Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
60,3730,47.3984,10.2759,806,Oberstdorf Bayern,Frei,780,3730,47.3984,10.2759,806,Oberstdorf Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
