id,lat,lon,height,name,state
01451,53.8277,9.2493,2.0,Freiburg/Elbe Niedersachsen,Frei
01467,48.4607,8.4141,736.0,Freudenstadt-Kurgarten Baden-Württemberg,Frei
01468,48.4538,8.409,797.0,Freudenstadt Baden-Württemberg,Frei
01473,49.1869,11.308,414.0,Freystadt-Michelbach Bayern,Frei
01481,47.9216,8.2547,928.0,Friedenweiler,Baden-Württemberg
01488,51.6884,11.0394,523.0,Friedrichsbrunn Sachsen-Anhalt,Frei
01490,47.6454,9.4795,394.0,Friedrichshafen Baden-Württemberg,Frei
01492,47.7819,7.7348,852.0,Malsburg-Marzell-Friedrichsheim Baden-Württemberg,Frei
01493,50.4788,11.0159,793.0,Friedrichshöhe,Thüringen
01503,53.0643,7.902,6.0,Friesoythe-Altenoythe Niedersachsen,Frei
01504,51.119,9.2799,172.0,Fritzlar/Eder Hessen,Frei
01505,51.1333,9.2833,222.0,Fritzlar-Kasseler Warte Hessen,Frei
01513,50.6588,8.1027,653.0,Fuchskauten Rheinland-Pfalz,Frei
01515,48.2,11.2667,519.0,Fürstenfeldbruck Bayern,Frei
01522,49.4811,10.964,313.0,Fürth/Bayern (A) Bayern,Frei
01526,50.5668,9.6532,245.0,Fulda-Horas Hessen,Frei
01544,52.5129,11.3942,47.0,Gardelegen Sachsen-Anhalt,Frei
01550,47.483,11.0621,719.0,Garmisch-Partenkirchen Bayern,Frei
01552,53.2066,14.3817,13.0,Gartz/Oder Brandenburg,Frei
01568,50.6605,10.7565,721.0,Gehlberg-Schmücker Graben Thüringen,Frei
01572,50.9593,6.0392,80.0,Geilenkirchen-Neutevern Nordrhein-Westfalen,Frei
01580,49.9859,7.9548,111.0,Geisenheim Hessen,Frei
01583,50.7719,13.7732,823.0,Geisingberg Sachsen,Frei
01584,47.9242,8.6474,673.0,Geisingen Baden-Württemberg,Frei
01586,47.8774,12.6279,610.0,Traunstein-Geißing Bayern,Frei
01587,48.9481,11.4289,536.0,Gelbelsee Bayern,Frei
01590,51.4942,6.2463,37.0,Geldern-Walbeck Nordrhein-Westfalen,Frei
01593,50.2027,9.1989,190.0,Gelnhausen Hessen,Frei
01602,48.433,7.993,177.0,Ohlsbach Baden-Württemberg,Frei
01605,52.3875,12.1602,35.0,Genthin Sachsen-Anhalt,Frei
01612,50.8812,12.1289,311.0,Gera-Leumnitz Thüringen,Frei
01617,51.7259,11.1317,210.0,Gernrode Sachsen-Anhalt,Frei
