"Year","named_location","group","State","lat","lon","n_site_yr","spread_flower_site_yr","pseudoR2_gau","badfit_gau","beta0_gau","beta1_gau","beta2_gau","AIC_gau","R2_lm","beta0_lm","beta1_lm","beta1_lm_sig","AIC_lm","preferred_mod","mod_for_cens","higher_R2","AIC_delta","n_predictors","site_yr","decade","subset"
1991,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,72,12,0.0129,"TRUE",40.74627321,-0.31574831,0.00075169,1015.4081,0.0108,6.5001,0.0052,0.3846,1013.5629,"linear","exclude","gaussian",1.84519999999998,2,"1991_Carrington_REC","3","all_exactloc"
1993,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,98,12,0.0664,"FALSE",-191.51466601,1.74682817,-0.00383172,1331.246,0.012,8.6982,-0.005,0.2897,1334.7926,"gaussian","gauss","gaussian",-3.5465999999999,2,"1993_Carrington_REC","3","all_exactloc"
1994,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,98,14,0.141,"FALSE",-103.71110571,1.02256774,-0.00234748,1340.0048,0.1046,4.6669,0.0137,0.0015,1342.0711,"gaussian","gauss","gaussian",-2.06629999999996,2,"1994_Carrington_REC","3","all_exactloc"
2023,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,47,6,0.0074,"FALSE",-438.05563532,4.128517,-0.0095558,735.5918,0.0013,6.4124,0.0067,0.8116,733.8775,"linear","gauss","gaussian",1.71429999999998,2,"2023_Carrington_REC","6","all_exactloc"
1982,"Casselton_1","Casselton_1","ND",46.9005,-97.2112,28,9,0.0515,"FALSE",-73.1510861,0.7656658,-0.00181543,390.7518,0.0449,10.0699,-0.0118,0.2794,388.9458,"linear","gauss","gaussian",1.80599999999998,2,"1982_Casselton_1","2","all_exactloc"
1997,"Casselton_ASF","Casselton_ASF","ND",46.8871,-97.2305,106,14,0.0443,"FALSE",-10.96201126,0.15967583,-0.00034035,1543.4452,0.044,4.3815,0.0151,0.0308,1541.4785,"linear","gauss","gaussian",1.96670000000017,2,"1997_Casselton_ASF","3","all_exactloc"
1998,"Casselton_ASF","Casselton_ASF","ND",46.8871,-97.2305,130,13,0.0793,"FALSE",-161.80340964,1.5389846,-0.00348842,1912.0177,0.0566,4.2245,0.0168,0.0069,1913.1887,"gaussian","gauss","gaussian",-1.17099999999982,2,"1998_Casselton_ASF","3","all_exactloc"
1999,"Casselton_ASF","Casselton_ASF","ND",46.8871,-97.2305,131,14,0.0073,"FALSE",6.39870495,0.00906867,-9.91e-06,1904.0642,0.0073,6.8483,0.0048,0.3308,1902.0643,"linear","gauss","linear",1.99990000000003,2,"1999_Casselton_ASF","3","all_exactloc"
2000,"Casselton_ASF","Casselton_ASF","ND",46.8871,-97.2305,63,9,0.2455,"FALSE",-72.86620192,0.72294875,-0.00161709,871.4121,0.2397,2.7666,0.0235,1e-04,869.8925,"linear","gauss","gaussian",1.51959999999997,2,"2000_Casselton_ASF","4","all_exactloc"
2001,"Casselton_ASF","Casselton_ASF","ND",46.8871,-97.2305,90,15,0.1926,"TRUE",181.36503116,-1.64493451,0.00389331,1281.5237,0.1177,1.7814,0.0275,8e-04,1287.5076,"gaussian","exclude","gaussian",-5.98389999999995,2,"2001_Casselton_ASF","4","all_exactloc"
